FOODSTORE_ID,FOODSTORE_NAME,FOODCATEGORY_CODE,FOODCATEGORY,ADDRESS,WORKING_TIME,IMG_URL,RATE,LATITUDE,LONGITUDE,AREA,TAG_STORE,TAG_GENDER,TAG_AGE,TAG_ID
7891890,별양집,1,"곱창,막창",서울 강남구 테헤란로43길 17 지하1층 1층,매일 12:00 ~ 06:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F06A29EDFFEA044318A5E867CC7D8E920,4.6,127.043678,37.5044113,역삼동,분위기,여,10대,3
8153040,함지곱창전문,1,"곱창,막창",서울 강남구 학동로2길 33,월~토 14:30 ~ 01:30,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F11FF82F405014714AE8BC387811E6175,3.7,127.0232902,37.5092814,논현동,가격,여,10대,3
8664636,곰바위,1,"곱창,막창",서울 강남구 영동대로115길 10,매일 11:00 ~ 23:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F01062A037898C30DE3,3.2,127.0588155,37.514868,삼성동,분위기,여,10대,3
13571132,신사소곱창,1,"곱창,막창",서울 강남구 압구정로2길 62,월~토 17:00 ~ 03:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1276911E4B875E3435,3.2,127.0214486,37.517781,신사동,주차,남,30대,3
23372949,신촌황소곱창 선릉직영점,1,"곱창,막창",서울 강남구 선릉로86길 32 1층,월~토 15:00 ~ 05:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F84DA6E5B8E944999B4B7E4ABB34E7595,2.5,127.0524182,37.5037249,대치동,맛,여,20대,3
27402317,압구정곱창,1,"곱창,막창",서울 강남구 압구정로42길 25-8,수~금 12:00 ~ 24:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F085FFDB7AC474C97BECBD81D137E00FF,3.8,127.0356508,37.5270345,신사동,가격,여,30대,3
168079537,60년전통신촌황소곱창 강남직영점,1,"곱창,막창",서울 강남구 강남대로100길 13 1층,매일 13:00 ~ 01:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB82900AAFD9C428E8C489D1E9577844C,1.5,127.0271872,37.5018439,역삼동,서비스,남,40대,3
263830255,강남곱,1,"곱창,막창",서울 강남구 역삼로3길 12 1 2층,월~토 16:00 ~ 24:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_993548515,4,127.0315589,37.494365,역삼동,분위기,여,40대,3
814556502,개그맨정용국의용곱창,1,"곱창,막창",서울 강남구 언주로108길 8 1층,화~일 17:00 ~ 05:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F78B7F2B5314A4D4681541045954EB708,4.4,127.0402947,37.5080692,역삼동,주차,여,30대,3
1120567503,우정양곱창,1,"곱창,막창",서울 강남구 도산대로30길 23 1층,월~토 17:00 ~ 24:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FEE2D5A8BDA2F4BCFBC45821777F5CB9D,3.9,127.0301166,37.5184382,논현동,가격,남,40대,3
1128885704,여의도황소곱창 강남점,1,"곱창,막창",서울 강남구 역삼로3길 8 1층,월~토 11:30 ~ 05:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA501D08CE7AE4A4E951AAA4627BF20B2,3.9,127.0318448,37.4941151,역삼동,서비스,여,60대이상,3
1321722203,장다리,1,"곱창,막창",서울 강남구 압구정로46길 5-14 1층,월~금 16:00 ~ 05:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCF7B3DC2BF144B4EBDCEE5E30E3B7907,4.4,127.0378912,37.5278907,신사동,분위기,여,20대,3
2015065724,세광양대창 논현점,1,"곱창,막창",서울 강남구 강남대로118길 12 부경빌딩 1층,월~금 16:30 ~ 23:30,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F84F04C7BA5784C3F82E09E31077229DB,4.1,127.0247201,37.5063107,논현동,주차,여,30대,3
2021432189,세광양대창 강남점,1,"곱창,막창",서울 강남구 역삼로5길 22 1층,월~금 11:00 ~ 22:30,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F64AD7B951CF645CD882950AD5FB218B4,3.5,127.0320325,37.495342,역삼동,맛,남,40대,3
2105252324,칠성집,1,"곱창,막창",서울 강남구 논현로 535 1층,월~토 16:00 ~ 22:50,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7BC2D3B878AE4FC2A1D808418197F7BB,4.3,127.035007,37.5041066,역삼동,가격,남,40대,3
7851144,두레국수 신사점,2,국수,서울 강남구 도산대로37길 28,월~금 11:00 ~ 21:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F653D84ED88E04E569DD9D9BAB25B1A2A,3.2,127.0315528,37.5228471,신사동,분위기,남,10대,4
8115170,가연,2,국수,서울 강남구 테헤란로51길 15 남경선능빌딩 1층,매일 12:00 ~ 21:30,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F136533464F693C6B0D,3.3,127.0460698,37.5048812,역삼동,서비스,남,10대,4
8121093,가람국시 논현동점,2,국수,서울 강남구 언주로135길 13,월~금 11:30 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1312B33A4F90C60D0D,3.8,127.0341084,37.516795,논현동,맛,남,10대,4
16037196,논현손칼국수,2,국수,서울 강남구 논현로111길 16 1층,월~금 09:30 ~ 19:50 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F24521A47522354131D,4.1,127.032236,37.507616,논현동,분위기,여,30대,4
16557397,정가네손칼국수,2,국수,서울 강남구 선릉로129길 11,월~금 10:00 ~ 20:30,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0A04795213E745D5AEF6301C6AA69500,2.3,127.0406664,37.5161456,논현동,주차,여,30대,4
18522215,백운봉막국수 본점,2,국수,서울 강남구 언주로93길 30 1층,월~토 11:00 ~ 05:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2324BD39560DC6F901,3.6,127.0395957,37.5034772,역삼동,맛,남,40대,4
1215810701,풍국면 강남직영점,2,국수,서울 강남구 테헤란로8길 21 1층,월~금 11:00 ~ 21:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3D22207C6849472DAC92EBDDA0905838,4.1,127.0320146,37.4976035,역삼동,가격,여,40대,4
8130016,평양면옥,3,냉면,서울 강남구 논현로150길 6,매일 11:00 ~ 21:30,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1878A6444F726A9709,3.1,127.0291711,37.5189441,논현동,맛,여,10대,5
8163082,강남면옥 신사점,3,냉면,서울 강남구 논현로152길 34 1층,매일 11:00 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F01062A03791294BE72,3.2,127.0309603,37.5214276,신사동,분위기,여,10대,5
10406623,반룡산,3,냉면,서울 강남구 테헤란로78길 26 1층,월~금 11:00 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3DE6B0247389455B8D4EA3B9812E3511,3.8,127.0558019,37.5044638,대치동,서비스,남,10대,5
